Skill Level,Task Preferences
junior,"[4, 3, 5, 0, 0, 0, 0]"
senior,"[3, 5, 4, 1, 2, 2, 0]"
junior,"[4, 1, 1, 0, 0, 0, 0]"
manager,"[2, 5, 4, 2, 1, 5, 1]"
entry-level,"[3, 2, 0, 0, 0, 0, 0]"
junior,"[2, 1, 1, 0, 0, 0, 0]"
entry-level,"[1, 5, 0, 0, 0, 0, 0]"
entry-level,"[3, 2, 0, 0, 0, 0, 0]"
entry-level,"[5, 4, 0, 0, 0, 0, 0]"
manager,"[4, 3, 3, 3, 4, 3, 1]"
junior,"[5, 4, 3, 0, 0, 0, 0]"
junior,"[5, 1, 5, 0, 0, 0, 0]"
junior,"[2, 1, 1, 0, 0, 0, 0]"
entry-level,"[3, 1, 0, 0, 0, 0, 0]"
senior,"[5, 2, 1, 1, 2, 2, 0]"
entry-level,"[5, 3, 0, 0, 0, 0, 0]"
junior,"[3, 4, 2, 0, 0, 0, 0]"
manager,"[1, 4, 5, 5, 1, 5, 1]"
entry-level,"[2, 2, 0, 0, 0, 0, 0]"
junior,"[3, 2, 2, 0, 0, 0, 0]"
senior,"[1, 4, 3, 4, 3, 2, 0]"
junior,"[4, 2, 5, 0, 0, 0, 0]"
junior,"[1, 2, 5, 0, 0, 0, 0]"
senior,"[5, 1, 3, 5, 1, 4, 0]"
junior,"[4, 2, 1, 0, 0, 0, 0]"
manager,"[5, 5, 4, 4, 5, 4, 2]"
junior,"[3, 5, 2, 0, 0, 0, 0]"
entry-level,"[1, 4, 0, 0, 0, 0, 0]"
junior,"[3, 4, 3, 0, 0, 0, 0]"
entry-level,"[2, 3, 0, 0, 0, 0, 0]"
junior,"[1, 4, 1, 0, 0, 0, 0]"
senior,"[4, 4, 1, 3, 3, 5, 0]"
entry-level,"[5, 1, 0, 0, 0, 0, 0]"
senior,"[1, 2, 3, 5, 5, 1, 0]"
senior,"[4, 1, 1, 4, 4, 1, 0]"
entry-level,"[5, 4, 0, 0, 0, 0, 0]"
entry-level,"[4, 1, 0, 0, 0, 0, 0]"
entry-level,"[5, 4, 0, 0, 0, 0, 0]"
entry-level,"[5, 1, 0, 0, 0, 0, 0]"
junior,"[5, 4, 5, 0, 0, 0, 0]"
manager,"[5, 5, 5, 5, 5, 3, 1]"
junior,"[5, 4, 1, 0, 0, 0, 0]"
senior,"[4, 1, 5, 1, 2, 4, 0]"
junior,"[4, 3, 5, 0, 0, 0, 0]"
junior,"[5, 4, 4, 0, 0, 0, 0]"
entry-level,"[1, 1, 0, 0, 0, 0, 0]"
entry-level,"[3, 3, 0, 0, 0, 0, 0]"
entry-level,"[2, 3, 0, 0, 0, 0, 0]"
junior,"[3, 1, 4, 0, 0, 0, 0]"
junior,"[5, 5, 5, 0, 0, 0, 0]"
manager,"[2, 2, 1, 5, 4, 2, 2]"
entry-level,"[3, 2, 0, 0, 0, 0, 0]"
junior,"[3, 4, 4, 0, 0, 0, 0]"
junior,"[5, 4, 3, 0, 0, 0, 0]"
entry-level,"[5, 1, 0, 0, 0, 0, 0]"
manager,"[1, 2, 1, 5, 4, 1, 2]"
manager,"[1, 3, 4, 3, 5, 5, 4]"
entry-level,"[4, 5, 0, 0, 0, 0, 0]"
entry-level,"[5, 5, 0, 0, 0, 0, 0]"
entry-level,"[1, 1, 0, 0, 0, 0, 0]"
junior,"[1, 4, 3, 0, 0, 0, 0]"
entry-level,"[1, 1, 0, 0, 0, 0, 0]"
entry-level,"[3, 3, 0, 0, 0, 0, 0]"
manager,"[5, 2, 2, 1, 4, 4, 2]"
entry-level,"[4, 3, 0, 0, 0, 0, 0]"
manager,"[5, 5, 1, 3, 4, 2, 4]"
senior,"[4, 1, 3, 1, 3, 3, 0]"
entry-level,"[3, 3, 0, 0, 0, 0, 0]"
entry-level,"[2, 4, 0, 0, 0, 0, 0]"
entry-level,"[5, 3, 0, 0, 0, 0, 0]"
senior,"[2, 1, 4, 2, 4, 5, 0]"
entry-level,"[3, 1, 0, 0, 0, 0, 0]"
entry-level,"[1, 5, 0, 0, 0, 0, 0]"
senior,"[1, 5, 1, 5, 2, 5, 0]"
entry-level,"[3, 4, 0, 0, 0, 0, 0]"
entry-level,"[1, 1, 0, 0, 0, 0, 0]"
junior,"[2, 3, 5, 0, 0, 0, 0]"
senior,"[2, 3, 1, 1, 1, 4, 0]"
senior,"[3, 4, 1, 3, 1, 4, 0]"
junior,"[3, 3, 4, 0, 0, 0, 0]"
senior,"[3, 2, 4, 2, 1, 4, 0]"
junior,"[2, 4, 1, 0, 0, 0, 0]"
senior,"[5, 3, 5, 2, 1, 2, 0]"
entry-level,"[3, 1, 0, 0, 0, 0, 0]"
entry-level,"[4, 5, 0, 0, 0, 0, 0]"
entry-level,"[1, 3, 0, 0, 0, 0, 0]"
senior,"[1, 2, 2, 2, 4, 2, 0]"
entry-level,"[4, 2, 0, 0, 0, 0, 0]"
junior,"[2, 2, 4, 0, 0, 0, 0]"
senior,"[2, 2, 4, 1, 5, 5, 0]"
entry-level,"[2, 4, 0, 0, 0, 0, 0]"
junior,"[4, 5, 3, 0, 0, 0, 0]"
entry-level,"[2, 1, 0, 0, 0, 0, 0]"
senior,"[5, 1, 2, 1, 4, 4, 0]"
senior,"[3, 5, 4, 1, 1, 3, 0]"
senior,"[1, 1, 2, 4, 3, 3, 0]"
junior,"[3, 5, 1, 0, 0, 0, 0]"
junior,"[1, 5, 3, 0, 0, 0, 0]"
entry-level,"[2, 3, 0, 0, 0, 0, 0]"
entry-level,"[4, 3, 0, 0, 0, 0, 0]"
